size,clique
3,"centro_milanese_di_psicoanalisi_cesare_musatti | franco_fornari | cesare_luigi_musatti"
3,"centro_milanese_di_psicoanalisi_cesare_musatti | giovanni_carlo_zapparoli | franco_fornari"
3,"dina_vallino | centro_milanese_di_psicoanalisi_cesare_musatti | franco_fornari"
3,"dario_de_martis | dina_vallino | centro_milanese_di_psicoanalisi_cesare_musatti"
3,"centro_milanese_di_psicoanalisi_cesare_musatti | tommaso_senise | cesare_luigi_musatti"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | marialisa_billa_pedroni_zanuso | tommaso_senise"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | elvio_fachinelli | marialisa_billa_pedroni_zanuso"
3,"mario_ponzo | societ_italiana_di_psicologia | agostino_gemelli"
3,"mario_ponzo | federico_kiesow | agostino_gemelli"
3,"mario_ponzo | societ_italiana_di_psicologia | federico_kiesow"
3,"mario_ponzo | angelo_majorana | ferruccio_banissoni"
3,"sante_de_sanctis | giovanni_mingazzini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
3,"giovanni_mingazzini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti"
3,"clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti | giovanni_bollea"
3,"carlo_de_sanctis | sante_de_sanctis | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
3,"carlo_de_sanctis | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | giovanni_bollea"
3,"centro_milanese_di_psicoanalisi_cesare_musatti | maria_mariolina_elvira_berrini | cesare_luigi_musatti"
3,"centro_milanese_di_psicoanalisi_cesare_musatti | giovanni_carlo_zapparoli | maria_mariolina_elvira_berrini"
3,"dina_vallino | centro_milanese_di_psicoanalisi_cesare_musatti | maria_mariolina_elvira_berrini"
3,"berta_neumann | agostino_gemelli | gaetano_benedetti"
3,"berta_neumann | gruppo_milanese_per_lo_sviluppo_della_psicoterapia | gaetano_benedetti"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | gaetano_benedetti | marialisa_billa_pedroni_zanuso"
3,"giuseppe_seppilli | manicomio_san_lazzaro_di_reggio_emilia | giuseppe_amadei"
3,"giuseppe_seppilli | manicomio_san_lazzaro_di_reggio_emilia | camillo_golgi"
3,"angelo_della_beffa | ospedale_psichiatrico_provinciale_di_milano_in_mombello | riccardo_bozzi"
3,"eugenio_medea | angelo_della_beffa | riccardo_bozzi"
3,"carlo_lorenzo_cazzullo | angelo_della_beffa | riccardo_bozzi"
3,"societ_italiana_di_psicologia | enzo_bonaventura | francesco_de_sarlo"
3,"societ_italiana_di_psicologia | alberto_marzi | enzo_bonaventura"
3,"alberto_marzi | enzo_bonaventura | francesco_de_sarlo"
